env,distract,method,task_id,mean_success,stderr_success,num_seeds
goal,True,vip,6,0.7400000035762787,0.12489995944302698,5
goal,True,vip,7,0.9799999952316284,0.020000004768371583,5
goal,True,vip,8,0.6400000095367432,0.09273618392658375,5
goal,True,vip,9,0.14000000357627868,0.05099019706468421,5
goal,True,vqvae,0,0.5999999910593032,0.11832159112823161,5
goal,True,vqvae,1,0.5999999910593032,0.1483239629103879,5
goal,True,vqvae,2,0.5600000023841858,0.09273618007018328,5
goal,True,vqvae,3,0.26000000089406966,0.09797958934632471,5
goal,True,vqvae,4,0.5800000071525574,0.0860232517003806,5
goal,True,vqvae,5,0.5000000059604645,0.03162277942898055,5
goal,True,vqvae,6,0.620000010728836,0.08000000156462202,5
goal,True,vqvae,7,0.8599999904632568,0.06782330194042689,5
goal,True,vqvae,8,0.48000000417232513,0.08602325204682552,5
goal,True,vqvae,9,0.1600000023841858,0.10295630222037411,5
object,False,cardpol,0,0.9599999904632568,0.024494903267870422,5
object,False,cardpol,1,0.7399999976158143,0.09273618135565018,5
object,False,cardpol,2,0.9399999976158142,0.039999999105930745,5
object,False,cardpol,3,0.48000000715255736,0.09165151363898086,5
object,False,cardpol,4,0.3200000077486038,0.13190906143536194,5
object,False,cardpol,5,0.8399999856948852,0.08717797640944983,5
object,False,cardpol,6,0.720000010728836,0.11999999682108567,5
object,False,cardpol,7,0.6999999955296516,0.1760681670085649,5
object,False,cardpol,8,0.7400000005960464,0.15362291210562234,5
object,False,cardpol,9,0.8199999988079071,0.11999999955296518,5
object,False,curl,0,0.9199999928474426,0.03741657323053964,5
object,False,curl,1,0.580000002682209,0.13928388088892119,5
object,False,curl,2,0.7000000029802322,0.12649110534649916,5
object,False,curl,3,0.44000000357627866,0.11224972287761917,5
object,False,curl,4,0.7800000011920929,0.11999999607602772,5
object,False,curl,5,0.8599999964237213,0.11661903631247872,5
object,False,curl,6,0.9199999928474426,0.05830952160620233,5
object,False,curl,7,0.720000010728836,0.10198038886912385,5
object,False,curl,8,0.8399999976158142,0.09273618392658374,5
object,False,curl,9,0.6799999982118606,0.13190905488336835,5
object,False,icvf,0,0.8800000071525573,0.07999999523162842,5
object,False,icvf,1,0.6000000059604644,0.1224744847058096,5
object,False,icvf,2,0.8399999976158142,0.02449488866777382,5
object,False,icvf,3,0.32000000327825545,0.07999999942258003,5
object,False,icvf,4,0.6199999988079071,0.190787839689804,5
object,False,icvf,5,0.9599999904632568,0.02449490326787042,5
object,False,icvf,6,0.9199999928474426,0.03741657323053964,5
object,False,icvf,7,0.9,0.10000000000000002,5
object,False,icvf,8,0.5,0.21447610422782376,5
object,False,icvf,9,0.6400000095367432,0.05099019443456236,5
object,False,vae,0,0.6600000023841858,0.12489995586388399,5
object,False,vae,1,0.37999999821186065,0.1959591773999326,5
object,False,vae,2,0.6999999910593033,0.13038404433259235,5
object,False,vae,3,0.06000000089406966,0.024494897792834192,5
object,False,vae,4,0.44000000059604644,0.1691153450414078,5
object,False,vae,5,0.4400000095367432,0.1363818193298879,5
object,False,vae,6,0.5199999988079071,0.1881488739275987,5
object,False,vae,7,0.3200000062584877,0.11575837197573749,5
object,False,vae,8,0.4,0.24494897427831783,5
object,False,vae,9,0.8199999928474426,0.0860232503146008,5
object,False,vip,0,0.7000000059604645,0.1483239679335683,5
object,False,vip,1,0.6800000026822091,0.1655294526632544,5
object,False,vip,2,0.8399999976158142,0.0812403806714206,5
object,False,vip,3,0.46000000089406967,0.13638181692615436,5
object,False,vip,4,0.4600000023841858,0.20396078153731317,5
object,False,vip,5,0.9199999928474426,0.03741657323053964,5
object,False,vip,6,0.42500001192092896,0.143614071005508,4
object,False,vip,7,0.8600000023841858,0.0748331424785753,5
object,False,vip,8,0.7250000014901161,0.1600781049273807,4
object,False,vip,9,1.0,0.0,2
object,False,vqvae,0,0.6799999952316285,0.11135527954877723,5
object,False,vqvae,1,0.6599999979138375,0.1913112618619079,5
object,False,vqvae,2,0.8399999856948852,0.06000000039736446,5
object,False,vqvae,3,0.12000000178813934,0.0734846933785026,5
object,False,vqvae,4,0.7799999952316284,0.19595917869264945,5
object,False,vqvae,5,0.6199999988079071,0.10677078145964071,5
object,False,vqvae,6,0.2600000038743019,0.09273618553341714,5
object,False,vqvae,7,0.8199999928474426,0.07348468709235023,5
object,False,vqvae,8,0.33999999761581423,0.21354156403577865,5
object,False,vqvae,9,0.5399999991059303,0.1435269985146547,5
object,True,cardpol,0,0.7399999976158143,0.06782329842513694,5
object,True,cardpol,1,0.5400000035762786,0.10295629614159363,5
object,True,cardpol,2,0.799999988079071,0.06324554472147804,5
object,True,cardpol,3,0.6200000047683716,0.09695359690241673,5
object,True,cardpol,4,0.5199999928474426,0.149666291727405,5
object,True,cardpol,5,0.7200000047683716,0.05830952160620233,5
object,True,cardpol,6,0.6000000059604644,0.1303840471897595,5
object,True,cardpol,7,0.5799999907612801,0.11999999731779099,5
object,True,cardpol,8,0.7199999928474426,0.11999999135732665,5
object,True,cardpol,9,0.6200000047683716,0.08602325031460081,5
object,True,curl,0,0.02000000029802322,0.020000000298023218,5
object,True,curl,1,0.0,0.0,5
object,True,curl,2,0.02000000029802322,0.020000000298023218,5
object,True,curl,3,0.0,0.0,5
object,True,curl,4,0.02000000029802322,0.020000000298023218,5
object,True,curl,5,0.0,0.0,5
object,True,curl,6,0.0,0.0,5
object,True,curl,7,0.0,0.0,5
object,True,curl,8,0.0,0.0,5
object,True,curl,9,0.02000000029802322,0.020000000298023218,5
object,True,icvf,0,0.5600000053644181,0.10295630193090852,5
object,True,icvf,1,0.46000000834465027,0.11661904040132356,5
object,True,icvf,2,0.32000000178813937,0.18547236994205074,5
object,True,icvf,3,0.6399999976158142,0.039999996125698496,5
object,True,icvf,4,0.7600000023841857,0.09273618135565018,5
object,True,icvf,5,0.4800000160932541,0.08000000454485419,5
object,True,icvf,6,0.5400000050663948,0.14352700121400871,5
object,True,icvf,7,0.6399999976158142,0.09797958326295132,5
object,True,icvf,8,0.30000000149011613,0.1788854379500831,5
object,True,icvf,9,0.7,0.07071067390397028,5
object,True,vae,0,0.5600000023841858,0.07483314407157644,5
object,True,vae,1,0.3000000059604645,0.14832397195211267,5
object,True,vae,2,0.48000001907348633,0.12000000476837157,5
object,True,vae,3,0.2200000047683716,0.09695359813196656,5
object,True,vae,4,0.7599999964237213,0.1288409851391912,5
object,True,vae,5,0.5400000065565109,0.11661903465138565,5
object,True,vae,6,0.5000000029802323,0.1048808821175524,5
object,True,vae,7,0.48000000417232513,0.13928388153082563,5
object,True,vae,8,0.5200000047683716,0.21540659383494282,5
object,True,vae,9,0.6000000029802323,0.14491376499402778,5
object,True,vip,0,0.5799999952316284,0.07999999523162843,5
object,True,vip,1,0.32000000178813937,0.18547236994205074,5
object,True,vip,2,0.4200000077486038,0.09695359582656057,5
object,True,vip,3,0.6800000071525574,0.10677077838927337,5
object,True,vip,4,0.600000011920929,0.08366600122858428,5
object,True,vip,5,0.720000010728836,0.0800000011920929,5
object,True,vip,6,0.45000001788139343,0.15000000596046448,2
object,True,vip,7,0.6999999940395355,0.09486832257973815,5
object,True,vip,8,0.3999999947845936,0.29999999329447746,2
object,True,vqvae,0,0.4599999934434891,0.16309505997230556,5
object,True,vqvae,1,0.2199999988079071,0.14282856694332466,5
object,True,vqvae,2,0.5800000071525574,0.0734846887145832,5
