env|distract|task,CardPol,VIP,VAE,VQVAE,CURL,ICVF,CardPol_stderr,VIP_stderr,VAE_stderr,VQVAE_stderr,CURL_stderr,ICVF_stderr
Object|yes|task7,0.5799999907612801,0.6999999940395355,0.48000000417232513,0.6,0.0,0.6399999976158142,0.11999999731779099,0.09486832257973815,0.13928388153082563,0.10488088140716735,0.0,0.09797958326295132
Object|yes|task8,0.7199999928474426,0.3999999947845936,0.5200000047683716,0.5600000053644181,0.0,0.30000000149011613,0.11999999135732665,0.29999999329447746,0.21540659383494282,0.10295630193090852,0.0,0.1788854379500831
Object|yes|task9,0.6200000047683716,,0.6000000029802323,0.5600000053644181,0.02000000029802322,0.7,0.08602325031460081,,0.14491376499402778,0.10295630193090852,0.020000000298023218,0.07071067390397028
Spatial|no|task0,0.6600000143051148,1.0,0.38000000864267347,0.4200000077486038,0.6600000023841858,0.7599999964237213,0.0399999961256985,,0.13564660289217823,0.13564660135423892,0.05099019443456236,0.10295629932571683
Spatial|no|task1,0.8399999976158142,0.7400000095367432,0.5800000041723251,0.5000000029802323,0.44000000655651095,0.44000000804662703,0.08124038067142061,0.039999999105930745,0.17435595615199617,0.1673320064644843,0.09273618392658377,0.12884098993889198
Spatial|no|task2,0.7600000023841857,0.9199999928474426,0.7599999934434891,0.7,0.8600000023841858,0.7199999928474426,0.10295629990464827,0.03741657323053964,0.14352699820319081,0.10488088140716745,0.0399999961256985,0.06633249365053104
Spatial|no|task3,0.6800000026822091,0.6000000059604644,0.4400000020861626,0.7,0.539999994635582,0.5800000041723251,0.15297058598251403,0.0836659976665255,0.13638181687152406,0.18439088946910936,0.1208304546303782,0.12000000067055233
Spatial|no|task4,0.32000000327825545,0.10000000298023222,0.0,0.0,0.38000000417232516,0.20000000149011612,0.07999999942258003,0.054772257926970505,0.0,0.0,0.05830951777291013,0.10488088531428465
Spatial|no|task5,0.6600000023841858,0.5800000011920929,0.28000000566244126,0.1799999952316284,0.5799999937415123,0.6399999976158142,0.12083045845338777,0.16852299266938822,0.11575837210446388,0.1799999952316284,0.18275666584077044,0.1326649877503486
Spatial|no|task6,0.8399999976158142,0.7600000023841857,0.4400000095367432,0.5400000065565109,0.6799999892711639,0.8599999904632568,0.0812403806714206,0.12884098560181298,0.09273618521205042,0.10770329650241013,0.10198038419335076,0.05099019443456236
Spatial|no|task7,0.5400000005960465,0.6800000011920929,0.38000000864267347,0.42000001668930054,0.7799999952316284,0.559999993443489,0.12083045783677336,0.1157583652176002,0.08602325499160758,0.12000000476837157,0.08602325170038058,0.14696937763194484
Spatial|no|task8,0.4799999937415123,0.6199999988079071,0.24000000357627868,0.2800000011920929,0.22000000029802322,0.5399999931454659,0.13564659624608272,0.08602324719659608,0.06782330084189861,0.09695359690241659,0.13190905770750339,0.116619035162491
Spatial|no|task9,0.1800000056624412,0.12000000327825544,0.02000000029802322,0.02000000029802322,0.06000000089406966,0.08000000119209288,0.048989797410680457,0.04898979695442744,0.020000000298023218,0.020000000298023218,0.040000000596046435,0.037416574425289804
Spatial|yes|task0,0.6800000011920929,0.6800000071525574,0.40000001192092893,0.48000000417232513,0.06000000089406966,0.5600000083446502,0.09695359505809188,0.05830950933966762,0.08944272376479291,0.08602325204682552,0.040000000596046435,0.05099019443456236
Spatial|yes|task1,0.659999993443489,0.48000000715255736,0.5000000074505806,0.5599999979138375,0.0,0.8,0.12884098155387264,0.13564660168379722,0.13416408064918794,0.13266498803115304,0.0,0.12247448713915889
Spatial|yes|task2,0.8799999952316284,0.7600000023841857,0.6600000023841858,0.8599999904632568,0.10000000298023222,0.8399999856948852,0.07348468709235023,0.10295629990464827,0.0812403806714206,0.06782330194042689,0.054772257926970505,0.06000000039736446
Spatial|yes|task3,0.5200000017881393,0.5600000083446502,0.5800000071525574,0.5800000011920929,0.14000000357627868,0.5800000011920929,0.10677078229701373,0.05099019443456236,0.05830952160620233,0.08602324788948601,0.05099019706468422,0.0734846923646071
Spatial|yes|task4,0.20000000447034835,0.0,0.02000000029802322,0.0,0.0,0.18000000417232512,0.07071067969916159,0.0,0.020000000298023218,0.0,0.0,0.037416575620040665
Spatial|yes|task5,0.40000001192092893,0.24000000953674316,0.02000000029802322,0.02000000029802322,0.0,0.3000000074505806,0.1378404901154075,0.11224972606362142,0.020000000298023218,0.020000000298023218,0.0,0.11401754551582591
Spatial|yes|task6,0.799999988079071,0.7199999928474426,0.46000000536441804,0.3800000011920929,0.06000000089406966,0.6799999982118606,0.044721356884395436,0.04898978828562032,0.09273618376590041,0.11575836701977005,0.024494897792834192,0.13190905488336835
Spatial|yes|task7,0.5200000047683716,0.5799999982118607,0.3600000083446503,0.30000000149011613,0.04000000059604644,0.6600000023841858,0.10198038828465225,0.11575836483142093,0.12884098884016526,0.08366600211909873,0.024494897792834192,0.0678232931522017
Spatial|yes|task8,0.34000000506639483,0.3600000098347664,0.3600000113248825,0.16000000387430188,0.04000000059604644,0.26000000834465026,0.06782329974337047,0.0871779811099709,0.06782330281924936,0.050990196918566315,0.040000000596046435,0.09273618922913424
Spatial|yes|task9,0.160000005364418,0.180000002682209,0.18000000417232515,0.04000000059604644,0.0,0.02000000029802322,0.06782330237983805,0.06633249679553921,0.07348469398683995,0.024494897792834192,0.0,0.020000000298023218
