env|distract|task,CardPol,VIP,VAE,VQVAE,CURL,ICVF,CardPol_stderr,VIP_stderr,VAE_stderr,VQVAE_stderr,CURL_stderr,ICVF_stderr
Object|yes|task2,0.799999988079071,0.4200000077486038,0.48000001907348633,0.5800000071525574,0.02000000029802322,0.32000000178813937,0.06324554472147804,0.09695359582656057,0.12000000476837157,0.0734846887145832,0.020000000298023218,0.18547236994205074
Object|yes|task3,0.6200000047683716,0.6800000071525574,0.2200000047683716,0.25999999791383743,0.0,0.6399999976158142,0.09695359690241673,0.10677077838927337,0.09695359813196656,0.14352699903376115,0.0,0.039999996125698496
Object|yes|task4,0.5199999928474426,0.600000011920929,0.7599999964237213,0.36000000685453415,0.02000000029802322,0.7600000023841857,0.149666291727405,0.08366600122858428,0.1288409851391912,0.09273618770264244,0.020000000298023218,0.09273618135565016
Object|yes|task5,0.7200000047683716,0.720000010728836,0.5400000065565109,0.6399999931454659,0.0,0.4800000160932541,0.05830952160620233,0.0800000011920929,0.11661903465138565,0.13999999766903273,0.0,0.08000000454485419
Object|yes|task6,0.6000000059604644,0.45000001788139343,0.5000000029802323,0.4200000002980232,0.0,0.5400000050663948,0.1303840471897595,0.15000000596046448,0.1048808821175524,0.1881488758283693,0.0,0.14352700121400871
Object|yes|task7,0.5799999907612801,0.6999999940395355,0.48000000417232513,0.6,0.0,0.6399999976158142,0.11999999731779099,0.09486832257973815,0.13928388153082563,0.10488088140716735,0.0,0.09797958326295132
Object|yes|task8,0.7199999928474426,0.3999999947845936,0.5200000047683716,0.5600000053644181,0.0,0.30000000149011613,0.11999999135732665,0.29999999329447746,0.21540659383494282,0.10295630193090852,0.0,0.1788854379500831
Object|yes|task9,0.6200000047683716,,0.6000000029802323,0.5600000053644181,0.02000000029802322,0.7,0.08602325031460081,,0.14491376499402778,0.10295630193090852,0.020000000298023218,0.07071067390397028
Spatial|no|task0,0.6000000029802323,0.8999999761581421,0.3200000002980232,0.5600000053644181,0.5,0.720000010728836,0.11401753832777557,,0.19339079597337985,0.19390719549546434,0.16431676471235374,0.11999999682108567
Spatial|no|task1,0.9200000047683716,0.7600000023841857,0.4600000023841858,0.3000000089406967,0.6599999964237213,0.4800000056624413,0.04898979193564424,0.09273618135565018,0.1469693839180975,0.09486833357478013,0.12884098120690626,0.1772004515423764
Spatial|no|task2,0.9,0.8399999916553498,0.600000011920929,0.5000000089406967,0.9199999928474426,0.7600000023841857,0.044721356884395436,0.11224971916061666,0.09486832415045858,0.14142135571047396,0.03741657323053964,0.050990189758789335
Spatial|no|task3,0.22000000178813933,0.4000000074505806,0.38000001311302184,0.5200000017881393,0.32000000923871996,0.4800000086426735,0.10198039076865659,0.10954451075287736,0.058309521095096614,0.10677078229701373,0.08602325629077613,0.10677078348329225
Spatial|no|task4,0.10000000149011609,0.02000000029802322,0.04000000059604644,0.0,0.4000000074505806,0.12000000327825544,0.04472136021639597,0.020000000298023218,0.040000000596046435,0.0,0.08944272084929218,0.058309520967320165
Spatial|no|task5,0.5000000029802323,0.6399999916553497,0.5000000029802323,0.2800000041723251,0.4200000077486038,0.3999999985098839,0.13784048633175397,0.18055469669317104,0.20976176885260683,0.14966629770115925,0.06633249836804349,0.14142135123237126
Spatial|no|task6,0.7199999928474426,0.8199999928474426,0.3799999952316284,0.45999999940395353,0.8399999976158142,0.7800000071525574,0.13190905488336815,0.0860232503146008,0.18275666412852434,0.1029562971547236,0.06782330194042689,0.06633249365053104
Spatial|no|task7,0.7000000059604645,0.6199999943375587,0.3800000071525574,0.32000000327825545,0.8599999904632568,0.5399999916553497,0.09999999850988404,0.15937377033507266,0.10677078453000832,0.1462873901047498,0.05099019443456236,0.15684386719530002
Spatial|no|task8,0.5000000149011612,0.4800000011920929,0.3400000035762787,0.2999999985098839,0.26000000536441803,0.5600000083446502,0.07745967096398486,0.10677077615627854,0.08717797948615442,0.13038404604689255,0.12489996314147493,0.09273618392658375
Spatial|no|task9,0.10000000298023222,0.06000000089406966,0.08000000119209288,0.10000000298023222,0.10000000298023222,0.08000000119209288,0.054772257926970505,0.040000000596046435,0.048989795585668384,0.06324555532383999,0.054772257926970505,0.048989795585668384
Spatial|yes|task0,0.6800000011920929,0.6800000071525574,0.40000001192092893,0.48000000417232513,0.06000000089406966,0.5600000083446502,0.09695359505809188,0.05830950933966762,0.08944272376479291,0.08602325204682552,0.040000000596046435,0.05099019443456236
Spatial|yes|task1,0.659999993443489,0.48000000715255736,0.5000000074505806,0.5599999979138375,0.0,0.8,0.12884098155387264,0.13564660168379722,0.13416408064918794,0.13266498803115304,0.0,0.12247448713915889
Spatial|yes|task2,0.8799999952316284,0.7600000023841857,0.6600000023841858,0.8599999904632568,0.10000000298023222,0.8399999856948852,0.07348468709235023,0.10295629990464827,0.0812403806714206,0.06782330194042689,0.054772257926970505,0.06000000039736446
Spatial|yes|task3,0.5200000017881393,0.5600000083446502,0.5800000071525574,0.5800000011920929,0.14000000357627868,0.5800000011920929,0.10677078229701373,0.05099019443456236,0.05830952160620233,0.08602324788948601,0.05099019706468422,0.0734846923646071
Spatial|yes|task4,0.20000000447034835,0.0,0.02000000029802322,0.0,0.0,0.18000000417232512,0.07071067969916159,0.0,0.020000000298023218,0.0,0.0,0.037416575620040665
Spatial|yes|task5,0.40000001192092893,0.24000000953674316,0.02000000029802322,0.02000000029802322,0.0,0.3000000074505806,0.1378404901154075,0.11224972606362142,0.020000000298023218,0.020000000298023218,0.0,0.11401754551582591
Spatial|yes|task6,0.799999988079071,0.7199999928474426,0.46000000536441804,0.3800000011920929,0.06000000089406966,0.6799999982118606,0.044721356884395436,0.04898978828562032,0.09273618376590041,0.11575836701977005,0.024494897792834192,0.13190905488336835
Spatial|yes|task7,0.5200000047683716,0.5799999982118607,0.3600000083446503,0.30000000149011613,0.04000000059604644,0.6600000023841858,0.10198038828465225,0.11575836483142093,0.12884098884016526,0.08366600211909873,0.024494897792834192,0.0678232931522017
Spatial|yes|task8,0.34000000506639483,0.3600000098347664,0.3600000113248825,0.16000000387430188,0.04000000059604644,0.26000000834465026,0.06782329974337047,0.0871779811099709,0.06782330281924936,0.050990196918566315,0.040000000596046435,0.09273618922913424
Spatial|yes|task9,0.160000005364418,0.180000002682209,0.18000000417232515,0.04000000059604644,0.0,0.02000000029802322,0.06782330237983805,0.06633249679553921,0.07348469398683995,0.024494897792834192,0.0,0.020000000298023218
